tokens,labels
"['heat', 'game', 'may', 'cost', 'alot', '...', 'plus', 'rather', 'see', 'austin', 'river', 'play']",neu
"['never', 'start', 'working', 'dream', 'goal', 'tomorrow', '...', 'tomorrow', 'never', 'come', '...', 'mean', 'anything', 'u', 'act', 'now', '#getafterit']",pos
"['vick', 'flacco', 'needed', 'upgrade', 'vick', 'may', 'get', 'benched', 'jennings', 'back', 'soon', 'thought', 'win']",pos
"['key', 'largo', 'fl', 'yay', 'just', 'ur', 'neighbor', 'lisa', 'sip', 'n', 'hop', 'away', 'happy', 'always', 'watching', '#rhom', 'thur is']",pos
"['look', 'like', 'andy', 'android', 'may', 'little', 'much', 'fun', 'yesterday']",pos
"['oooh', 'nice', '..', 'ti', 'tempting', 'go', 'lake', 'nikon', '...', 'hmmmm', 'may', '..']",pos
"['black', 'friday', 'huge', 'saving', 'aerial', 'view', 'city', 'paris', 'la', 'vega', 'la', 'vega', 'strip', 'la', 'vega', '...']",neu
"['yes', 'know', 'indio', 'v', 'cv', 'tomorrow', 'bell', 'game', 'enough']",pos
"['jenelle', 'lie', 'said', 'alone', 'hosp.now', 'she is', 'saying', 'weird', 'keiffer is']",neg
"['lmfao', 'big', 'as', 'get', 'nerve', 'going', 'class', 'tomorrow']",neg
"['mohamed', 'morsi', 'egypt is', 'muslim', 'brotherhood', 'president', 'instructed', 'supreme', 'council', 'armed', 'force', 'thursday', '...']",neu
"['c amon', 'avila', 'just', 'got', 'tagged', 'guy', 'look', 'like', 'kid', 'bill', 'murray', 'researching', 'royal', 'tenenbaums', '#tigers']",neu
"['think', 'boro', 'will', 'beat', 'swansea', 'i am', 'not', 'sure', 'december', 'january', 'implode']",neg
"['first', 'grammy', 'award', 'held', 'may', 'domenico', 'modugno', 'beat', 'frank', 'sinatra', 'peggy', 'lee', 'record', 'year', 'volare']",neu
"['studied', 'day', 'tomorrow', 'i am', 'going', 'friend', ':d', 'omg', 'jennette', 'i am', 'gonna', 'look']",pos
"['good', 'morning', 'thursday', 'life', 'fragile', 'we are', 'not', 'guaranteed', 'tomorrow', 'give', 'everything', 'you have', 'got', 'tim', 'cook', 'job']",pos
"['#twitition', 'mcfly', 'come', 'back', 'argentina', 'time', 'want', 'come', 'mar', 'del', 'plata']",pos
"['anything', 'wondered', 'aspect', 'btwn', 'sun', 'moon', 'faired', 'rising', 'also', 'venus', 'sag', '...', 'yea', 'lol', 'thank', 'u', 'happy']",pos
"['teacher', 'call', 'givng', 'u', 'candy', '...', 'was not', 'even', 'good', 'stuff', 'might', 'go', 'walmart', 'cv', 'tomorrow']",neg
"['#broncos', 'peyton', 'manning', 'named', 'afc', 'offensive', 'player', 'month', 'it is', 'honor', 'second', 'tom', 'brady is', 'tied', 'w', 'td']",neu
"['bringing', 'kendrick', 'lamar', 'december', 'get', 'ticket', 'now']",neu
"['may', 'android', 'phone', 'time', 'get', 'back', 'school', 'happy']",pos
"['andre is', 'wigan', 'warning', '#coys', 'official', 'site', 'wigan', 'might', 'currently', 'occupy', 'place', 'premier', 'league', '...']",neu
"['strange', 'enough', 'i am', 'going', 'see', 'noel', 'gallagher', 'concert', 'tomorrow', 'night']",neu
"['professor', 'pass', 'candy', 'say', 'small', 'amount', 'may', 'valentine', 'day', 'just', 'know']",neu
"['going', 'act', 'new', 'york', 'subway', 'better', 'clutch', 'like', 'eli', 'manning', 'quarter']",neu
"['homegrown', 'talent', 'missing', 'signing', 'day', 'throughout', 'day', 'wednesday', 'video', 'scoreboard', '...', '#raleigh']",neg
"['taylor', 'swift', 'coming', 'ed', 'sheeran', 'june', 'perf', 'news', 'i have', 'heard', 'night']",pos
"['great', 'noel', 'gallagher', 'hit', 'stage', 'st', 'paul', 'plenty', 'room', 'we are', 'row', 'center', 'plenty', 'room', 'pretty', 'fired']",pos
"['going', 'plenty', 'ups', 'down', 'boro', 'cardiff', 'leicester', 'etc', 'may', 'hope', 'still', 'shout', 'promo']",neu
"['suck', 'amazon', 'might', 'left', '..', 'hate', 'will not', 'tuesday', 'though']",neg
"['playing', 'brown', 'hc', 'k', 'fri', 'xfacalac', 'lost', 'raven', 'all-madden', '#connectedcareers']",neu
"['nooooooooo', 'rosanne', 'they have', 'just', 'restocked', 'going', 'overseas', 'sunday', 'mean', 'can not', 'afford', "":'(""]",neg
"['pain', 'far', 'deeper', 'billy', 'cundiff', 'missed', 'field', 'goal', 'gotta', 'wake', 'forget', 'tomorrow', '#orioles', '#stayhungry']",neu
"['november', 'ready', 'head', 'movie', 'breaking', 'dawn', 'part', '(;']",pos
"['seeing', 's', 'tweet', 'watching', 'vow', 'think', 'may', 'need', 'watch']",neu
"['station', 'will', 'air', 'new', 'episode', 'cougar', 'town', 'january', 'good', 'u', 'jordan', '#pennycan']",pos
"['alex', 'poythress', 'point', 'rebound', 'debut', 'kentucky', 'exhibition', 'game', 'thursday', 'played', 'minute']",neu
"['think', 'may', 'heart', 'attack', 'jason', 'wu is', 'new', 'collection', 'charlotte', 'rampling', 'night']",pos
"['can', 'get', 'equipment', 'working', 'correctly', 'will', 'live', 'show', 'friday', 'pm', 'cst', 'contactee', 'ray', '...']",neu
"['amazing', 'concert', 'tonight', 'jim', 'white', 'tcu', 'jazz', 'ensemble', 'faculty', 'jazz', 'combo', 'do not', 'miss', 'tomorrow', 'night', '...']",pos
"['#nationals', 'inning', 'quarter', '#redskins', 'feel', 'did not', 'coulda', 'swore', 'saw', 'cundiff', 'shank', 'one', 'mound']",neu
"['still', 'wear', 'short', 'it is', 'cold', 'love', 'britain', 'see is', 'bit', 'sun', 'they are', 'like', 'oooh', 'let is', 'strip']",pos
"['capello', 'say', 'time', 'russia', 'win', 'big', 'match', 'russia', 'manager', 'fabio', 'capello', 'thursday', 'said', 'intended', '...']",pos
"['jackal', 'goal', 'jimmy', 'martin', 'sneak', 'rebound', 'past', 'killeen', 'give', 'elmira', 'lead', 'bushee', 'bellamy', 'assist', 'left', 'period']",neu
"['kick-off', 'weekend', 'service', 'ev', 's', 'get', 'bus', 'trip', 'boy', 'girl', 'club', 'friday', 'hope', 'see', 'happy']",pos
"['lmfao', 'alright', 'u', 'got', 'good', 'job', 'parker', 'spur', 'see', ""y'all"", 'jan', 'get', 'extra', 'ticket', 'game', 'ur', 'goin']",pos
"['desperation', 'day', 'february', 'well', 'known', 'day', 'men', 'life']",neg
"['similar', 'circumstance', 'australia', 'jan', 'australia', 'day', 'many', 'first', 'people', 'call', 'invasion', 'day']",neu
"['paul-and', 'harry', 'louis', 'just', 'fri', 'eleanor', 'inspira', 'harry', 'manwho', 'louis', '...']",neu
"['#web', 'apple', 'software', 'retail', 'chief', 'overhaul', 'san', 'francisco', 'reuters', 'apple', 'inc', 'ceo', 'tim', 'cook', 'monday', 'replaced', 'head', '...']",neu
"['damn', 'next', 'saturday', 'tho', 'nigga', 'trynna', 'get', 'shit', '#early']",neg
"['one', 'harry', 'style']",neu
"['blog', 'post', 'mtv is', 'teen', 'mom', 'return', 'intense', 'third', 'season', 'chelsea', 'jenelle', 'kailyn', 'leah', 'monday', '...']",neu
"['business', 'leader is', 'award', 'ceremony', 'will', 'held', 'annual', 'meeting', 'davos', 'january']",neu
"['hi', 'elif', 'greeting', 'usa', 'midwest', 'school', 'going', 'happy', 'turkish', 'republic', 'day', 'can not', 'wait', 'nov', '#newglee', 'yes']",pos
"['hoping', 'look', 'fit', 'tomorrow', 'jeremy', 'kyle', 'show', '#itvfashion']",pos
"['joe', 'gone', 'chill', 'saturday', 'come', 'tho']",neu
"['obma', 'fails', 'u', 'divide', 'u', 'sex', 'color', 'party', 'age', 'wealth', 'nevada is', 'latino', 'governor', 'vote', 'early', 'romney', 'predicts', 'gop', 'win']",neg
"['grammys', 'concert', 'pay', 'moving', 'tribute', 'whitney', 'houston', 'whitney', 'houston', 'given', 'final', 'sendoff', 'grammys', 'thursday', 'halle', '...']",pos
"['calling', 'voter', 'i am', 'calling', 'nevada', 'florida', 'ohio', 'tuesday', 'night', 'night', 'u', 'guy', 'will', 'repeat', 'will', 'shine', 'president', 'let', 'go']",neu
"['tallied', 'vote', 'announcing', 'winner', 'calling', 'community', 'tune', 'nov', 'cst']",neu
"['it is', 'radio', 'rock', 'next', 'week', 'starting', 'live', 'lounge', 's', 'show', 'bullet', 'valentine', 'monday']",neu
"['drew', 'peterson', '#untouchable', 'no', 'check', 'movie', 'photo', 'watch', 'sun', 'c']",pos
"['im', 'just', 'year', 'old', 'still', 'loan', 'time', 'coventry', 'overall', 'hopefully', 'return', 'bale', 'will', 'still', 'ther']",neu
"['halloween', 'may', 'second', 'worst', 'holiday', 'right', 'valentine is', 'day']",neg
"['pumped', 'open', 'season', 'tomorrow', 'night', 'georgetown', 'women is', 'preview', 'men is', 'preview']",pos
"['just', 'found', 'piece', 'candy', 'may', 'injected', 'something', '#why']",neg
"['apple', 'shakeup', 'mobile', 'software', 'bos', 'eased', 'apple', 'inc', 'ceo', 'tim', 'cook', 'monday', 'pushed', 'powerful', 'head', 'company', 's', 'mo', '...']",neu
"['somehow', 'managed', 'lose', 'princess', 'leia', 'bra', 'saturday', 'i am', 'going', 'noel', 'gallagher', 'glock', 'phish', 'ie', 'jorts', 'tank']",neu
"['may', 'relent', 'get', 'one', 'hope', 'does not', 'come', 'hopefully', 'decent', 'apps', 'will', 'get', 'ported', 'android']",neu
"['android', 'camera', 'app', 'photo', 'sphere', 'now', 'available', 'galaxy', 'nexus', 'introduced', 'monday', 'android', 'bring', '...']",neu
"['saeed', '#nowplaying', 'bep', 'ricky', 'martin', 'kt', 'tunstall', 'great', 'song', 'get', 'sunday', 'hate', 'rain']",pos
"['nope', 'it is', 'just', 'camden', 'eating', 'greek', 'food', 'pumpkin', '...', 'just', 'another', 'wednesday']",neu
"['ready', 'shop', 'new', 'collection', 'h', 'm', 'tomorrow', 'grey', 'concept', 'h', 'm', '#fashion', '#shopping', '#highstreet']",neu
"['faq', 'skeuomorphic', 'design', 'executive', 'shakeup', 'apple', 'san', 'francisco', 'ca', 'march', 'apple', 'ceo', '...']",neu
"['fact', 'day', 'halloween', 'night', 'papa', 'john is', 'second', 'busiest', 'night', 'year', 'behind', 'super', 'bowl', 'sunday']",neu
"['omg', 'ricky', 'martin', 'may', 'gay', 'one', 'fine', 'as', 'gay', 'man']",pos
"['clipper', 'playing', 'cavalier', 'monday', 'night', 'honor', 'israel', 'happy', 'wish', 'la', 'still']",pos
"['noel', 'gallagher', 'musician', 'fucking', 'idiot', 'yeah', 'brian', 'may', 'he is', 'idiot', '...', 'idiot', 'just', 'happens', 'professor']",neg
"['vow', 'likely', 'return', 'midsummer', 'break', 'prix', 'de', 'royallieu', 'longchamp', 'saturday']",neu
"['hell', 'yea', 'lmfaoo', 'see', 'tomorrow', 'asia', 'baby', '(;']",pos
"['wanted', 'know', 'argentina', 'going', 'make', 'directioner', 'fest', 'november', 'te', 'amo', 'te', 'amo', 'te', 'amo']",neu
"['november', 'already', '..', 'christmas', 'will', 'soon', 'new', 'year', 'valentine is', 'day', 'graduation']",neu
"['#nowplaying', 'michael', 'jackson', 'she is', 'life', 'live', 'wembley', 'july', 'l', 'o', 'v', 'e', '#mjtunes']",pos
"['nigga', 'lakers', 'dick', '...', 'still', 'gon', 'finish', 'damn', 'near', 'first', 'seed', '...', 'yo', 'team', 'struggling', 'spot']",neg
"['october', 'people', 'principle', '..', 'argue', 'passionately', 'act', 'ghandi', 'sadat', 'adt']",pos
"['need', 'another', 'viv', 'necklace', '...', 'may', 'buy', 'one', 'valentine', 'day', '#nojoke']",neu
"['i am', 'bathroom', 'bumping', 'nigga', 'paris', 'crunk', 'as', 'hell', 'like', 'it is', 'time', 'hearing', 'song', 'will', 'never', 'get', 'old', 'lol']",pos
"['just', 'got', 'ticket', 'see', 'muse', 'florida', 'combined', 'grammys', 'two', 'week', 'prior', 'equal', 'really', 'busy', 'february', 'ruby']",neu
"['welcome', 'nick', 'j', 'manila', 'excited', 'show', 'friday']",pos
"['battle', 'banner', 'royal', 'rumble', 'basketball', 'edition']",neu
"['album', '#red', 'grammy', 'award', 'amas', 'bmi', 'award', 'reigning', 'entertainer', 'year', 'acm']",pos
"['smooch', 'fido', 'yea', 'nay', 'july', 'international', 'kissing', 'day', 'human', 'sort', 'later', 'month', 'ca', '...']",neu
"['it is', 'midnight', 'east', 'coast', 'mean', 'birthday', 'happy', 'birthday', 'nick', 'j']",pos
"['apple', 'ceo', 'apologizes', 'error-ridden', 'new', 'map', 'app', 'apple', 'ceo', 'tim', 'cook', 'apologized', 'friday', 'company is', 'error-ridden', 'new', 'mobile', 'map', '...']",neg
"['monta', 'elli', 'elli', 'provided', 'just', 'five', 'point', 'shooting', 'thursday', '#nba', '#playersnews']",neu
"['teach', 'basketball', 'school', 'we are', 'gonna', 'spend', 'day', 'watching', 'larry', 'bird', 'video', 'rest', 'will', 'take', 'care']",neu
"['t', 'offer', 'free', 'cloud', 'storage', 'io', 'android', 't', 'thursday', 'announced', 'new', 'service', 'call', 't', 'locker', 'th', '...']",neu
"['anniversary', 'celebration', 'still', 'time', 'make', 's', 'king', 'dr']",pos
"['told', 'shane', 'get', 'star', 'rival', 'signing', 'day']",neu
"['mitch', 'free', 'sunday', 'bale', 'leaf', 'hour', 'not', 'no', 'big', 'deal', 'can', 'animal']",neu
"['love', 'skipped', 'every', 'category', 'nta is', 'besides', 'soap', 'could not', 'give', 'half', 'fuck', 'everything', 'else', 'went', 'air', 'tomorrow']",pos
"['sat', 'ray', 'lewis', 'home', 'jersey', 'did not', 'lot', 'either']",neg
"['new', 'york', 'giant', 'game-by-game', 'prediction', 'half', 'season']",neu
"['c amon', 'c amon', 'sound', 'like', 'queen is', 'will', 'rock', 'somehow', '...']",neu
"['mashed', 'nigga', 'paris', 'club', 'paris', '...', 'cliche', 'may', 'sound', '#weouthere']",neu
"['pick', 'chelsea', 'team', 'play', 'swansea', 'chelsea is', 'focus', 'now', 'turn', 'back', 'premier', 'league', 'saturday', 'make', '...']",neu
"['just', 'look', 'seems', 'nash', 'davos', 'done', 'deal', 'along', 'joe', 'thornton', 'may', 'pay', 'visit', '...']",neu
"['mom', 'just', 'texted', 'reminding', 'grammys', 'birthday', 'tomorrow', '..', 'ever', 'forget', '#biggestdayoftheyear']",pos
"['wow', 'you are', 'also', 'percy', 'jackson', 'fan', ':-)', 'book', 'hero', 'olympus', 'will', 'entitled', 'house', 'hades']",pos
"['esperance', 'will', 'without', 'star', 'player', 'youssef', 'msakni', 'first', 'leg', 'champion', 'league', 'final', 'al', 'ahly', 'saturday', '#africa']",neg
"['sun', 'paolo', 'di', 'canio', 'say', 'beating', 'aston', 'villa', 'tonight', 'like', 'sex', 'madonna', '#legend']",neg
"['obviously', 'not', 'fan', 'dream', 'high', 'have not', 'even', 'watched', 'well', 'watched', 'ep', 'that is', 'heard', 'song']",neg
"['black', 'history', 'fact', 'marsalis', 'artist', 'win', 'classical', 'jazz', 'grammy', 'award', 'one', 'year', 'repeat', 'next', 'yr']",pos
"['watching', 'david', 'letterman', 'no', 'audience', 'playing', 'like', 'still', 'brilliant', 'thing', 'i have', 'seen', 'tonight']",pos
"['gov', 'mitch', 'daniel', 'will', 'announce', 'indiana', 'supreme', 'court', 'pick', 'm', 'will', 'time', 'charm', 'female', 'member', 'panel']",neu
"['common', 'night', 'order', 'pizza', 'nye', 'jan', 'day', 'thanksgiving', 'super', 'bowl', 'sunday', 'halloween']",neu
"['grey', 'yellow', 'gold', 'wedding', 'puzzle', 'now', 'first', 'piece', 'unique', 'two-tone', 'dress']",pos
"['harakah', 'iran', 'army', 'monitoring', 'ship', 'gulf', 'tehran', 'oct', 'senior', 'commander', 'islamic', 'revolution', 'gu', '...']",neu
"['ht', 'norwich', '#spurs', 'we have', 'edged', 'half', 'without', 'creating', 'clear', 'cut', 'chance', 'bale is', 'couple', 'decent', 'long', 'range', 'effort']",neu
"['guy', 'marijuana', 'law', 'colorado', 'oregon', 'washington', 'can', 'pas', 'tuesday', '#highhopes']",pos
"['breezin', 'won', 'best', 'pop', 'instrumental', 'performance', 'grammy', 'award']",pos
"['pacino', 'going', 'play', 'joe', 'paterno', 'time', 'starred', 'film', 'line', 'say', 'hello', 'little', 'friend', 'snl']",neu
"['not', 'wearing', 'make', 'dublin', 'tomorrow', 'i am', 'getting', 'ready', 'party', 'help']",neg
"['snow', 'may', 'fall', 'part', 'cny', 'next', 'day', 'find', 'best', 'chance', 'will', 'tv', 'online']",neu
"['seem', 'like', 'austin', 'river', 'tryin', 'get', 'bucket', 'feel', 'em', 'tho', 'game', 'league', 'trying', 'hard']",neu
"['cofield', 'draw', 'leadoff', 'walk', 'top', 'zaharion', 'plate']",neu
"['aww', 'celebrity', 'day', 'thursday', 'also', 'going', 'jennifer', 'hudson', 'though', 'happy']",neu
"['miss', 'better', 'get', 'juge', 'kiss', 'hug', 'tomorrow', 'night', 'will', 'joe is', 'happy']",pos
"['sat', 'watch', 'michael', 'jackson', 'dvd', 'xx']",neu
"['set', 'axis', 'nigerian', 'economy', 'airing', 'every', 'tuesday', 'nta', 'international', 'dstv']",neu
"['text', 'dad', 'like', 'charles', 'dickens', 'obvs', 'looking', 'amazon', 'wish', 'list', 'late', 'sunday', 'th', 'surprise']",pos
"['upset', 'alert', 'acc', 'men is', 'soccer', 'maryland', 'wake', 'forest', 'late', '...', 'man', 'earlier', 'red', 'card']",neg
"['really', 'bored', 'host', 'super', 'sunday', 'nothing', 'talk', 'rave', 'man', 'utd', '#biasprick']",neg
"['may', 'missed', 'seeing', 'noel', 'fielding', 'rich', 'fulcher', 'today', 'just', 'see', 'tom', 'tilley', '#samsimmons']",neu
"['looper', 'amazing', 'now', 'theatre', 'see', 'simon', 'callow is', 'mystery', 'charles', 'dickens', '...', 'loving', 'wednesday', 'work', ':-)']",pos
"['negro', 'nigglettes', 'like', 'attend', 'ap', 'rocky', 'concert', 'november', 'starland', 'lemme', 'know', 'ticket']",neu
"['wish', 'maddie', 'luck', 'next', 'saturday', 'solo', 'audition', 'britain is', 'got', 'talent', 'happy', 'ellie', 'xxxxx']",pos
"['joe', 'pa', 'mask', 'penn', 'state', 'sat', 'will', 'psu', 'allow', 'stadium', 'bad', 'wear']",neu
"['that is', 'crazy', 'i am', 'jealous', 'u', 'going', 'joe', 'pa is', 'grave', 'sad', 'saturday', 'walked', 'past', 'statue', 'sad']",neg
"['mizzou', 'commemorates', 'win', 'kentucky', 't-shirt', 'no', 'really', 'dr', 'saturday', 'yahoo', 'sport', '#fb']",pos
"['lol', 'year', 'may', 'chance', 'superbowl', 'now', 'must', 'wait', 'nick', 'foley']",neu
"['thinking', 'bolt', 'action', 'may', 'card', 'valentine is', 'day', 'something']",neu
"['happy', 'valentine is', 'day', 'everyday']",pos
"['finish', 'reading', 'paterno', 'tomorrow', 'can', 'watch', 'football', 'sunday', 'monday', 'prepare', 'release']",neu
"['may', 'indian', 'time', 'tonite', 'becky', ':-)', 'xx']",neu
"['just', 'watched', 'campaign', 'will', 'ferrell', 'zack', 'galafianakis', '...', 'good', 'fun', 'wednesday', '#hilarious']",pos
"['season', 'end', 'superbowl', 'first', 'week', 'february']",neu
"['review', 'reminded', 'still', 'need', 'read', 'percy', 'jackson', 'book', 'hero', 'olympus', 'offshoot', 'series']",neu
"['crazy', 'meeting', 'old', 'nba', 'player', 'picked', 'larry', 'bird']",neu
"['sunday', 'new', 'york', 'giant', 'going', '#steelers']",neg
"['introduction', 'literature', 'wrote', 'woman', 'black', 'not', 'something', 'particulalry', 'want', 'read', 'may', 'just', 'cry', '#shitmyself']",neg
"['new', 'today', 'northern', 'light', '...', 'get', 'payed', 'tomorrow']",neu
"['just', 'finished', 'rehearsing', 'ready', 'kendrick', 'lamar', 'show', 'tomorrow', 'shout', 'out', 'wvu', '...']",neu
"['posted', 'photo', 'facebook', 'album', 'super', 'sunday', 'wid', 'shobhit', 'bhatia', '...']",neu
"['watching', 'all-access', 'kentucky', 'every', 'wed', 'making', 'like', 'young', 'dude', 'kentucky']",neu
"['black', 'friday', 'deal', 'nikon', 'megapixels', 'digital', 'slr', 'camera', 'mm', 'nikkor', 'vr', 'lens', 'black', 'nikon', '...']",neu
"['han', 'mon', 'dieu', 'le', 'remix', 'de', 'best', 'dans', 'dream', 'high', 'je', 'meurs', 'xddd']",pos
"['not', 'want', 'miss', 'tomorrow', 'night', 'rj', 'moving', 'maryland', 'soon', 'truly', 'epic', 'set', 'planned', '...']",neu
"['do not', 'forget', 'mitch', 'daniel', 'going', 'steven', 'colbert is', 'show', 'thursday', 'think', 'will', 'come', 'topic']",neu
"['think', 'running', 'potus', 'may', 'part', 'job', 'someday']",neu
"['gon', 'handle', 'announcing', 'super', 'bowl', 'sunday', 'might', 'put', 'gold', 'back', 'yo', 'grill']",neu
"['plan', 'go', 'cv', 'work', 'today', 'get', 'something', 'may', 'get', 'i am', 'going', 'quarantine', 'today']",neu
"['iphone', 'apple', 'ceo', 'pledge', 'improve', 'new', 'map', 'app', 'apple', 'ceo', 'tim', 'cook', 'apologized', 'friday', 'company is', 'er', '...']",neu
"['full', 'moon', 'oct', 'can', 'read', 'sun', 'sign', 'libra', 'scorpio', 'sag', 'cap', 'aqua', 'pisces']",neu
"['drew', 'peterson', 'may', 'convicted', 'still', 'conflict', 'going', '#whenwillitend', '#localnews', '#chicago']",neu
"['paterno', 'wouldnt', 'charged', 'hearsay', 'job', 'minimal', 'may', 'reported', 'rest', 'speculation']",neu
"['benson is', 'attention', 'frankie', 'feel', 'like', 'forgotten', 'stepchild', 'let', 'founding', 'father', 'know', 'will', 'never', 'forget', 'place']",neg
"['police', 'protester', 'clash', 'republic', 'day', 'march', 'turkey', 'day', 'marking', 'anniversary', 'founding', '...']",neg
"['will', 'participating', 'google', 'hangout', 'tomorrow', 'i am', 'super', 'excited', 'check']",pos
"['think', 'murray', 'may', 'leave', 'no', 'way', 'team', 'draft', 'round']",neg
"['aww', 'love', 'austin', 'river', 'happy', 'see', 'get', 'start', 'nba', 'game', '...', 'it is', 'boy', 'let', 'go', 'spur', '#spurs', '#nba']",pos
"['mine', 'personal', 'thinking', 'tebow', 'better', 'flacco', 'do not', 'care', 'bad', 'played', 'sunday']",pos
"['another', 'center', 'gagner', 'good', 'cheap', 'line', 'option', 'can', 'afford', 'keep', 'kid']",pos
"['i am', 'still', 'shaking', 'head', 'decision', 'heat', 'knick', 'actually', 'playing', 'tomorrow', 'msg']",neg
"['glass', 'may', 'rising', 'it is', 'not', 'getting', 'warmer', 'lago', 'del', 'desierto', 'argentina']",neg
"['wish', 'make', 'trip', 'athens', 'tuesday']",pos
"['apple', 'software', 'retail', 'chief', 'overhaul', 'san', 'francisco', 'reuters', 'apple', 'inc', 'ceo', 'tim', 'cook', 'monday', 'pushed', 'powerful', 'hea', '...']",neu
"['capello', 'say', 'time', 'russia', 'win', 'big', 'match', 'russia', 'manager', 'fabio', 'capello', 'thursday', 'said', 'intended', '...']",neu
"['i am', 'hosting', 'day', 'party', 'spartacus', 'friday', 'spy', 'raleigh', 'night']",neu
"['eli', 'manning', 'hope', 'giant', 'can', 'uplift', 'spirit', 'million', 'affected', 'sandy', 'ny', 'game', 'steelers', 'sunday']",neu
"['mccormick', 'place', '...', 'rite', 'hyatt', 'hotel', 'like', 'nd', 'king', 'dr']",neu
"['fabio', 'capello', 'i have', 'seen', 'day', 'can', 'assure', 'russia', 'capable', 'getting', 'good', 'result', 'v', 'portugal', 'tomorrow', '#cantwait']",pos
"['parker', 'leonard', 'steal', 'okc is', 'thunder', 'ninety', 'minute', 'tipoff', 'thursday', 'night', 't', 'center', 'oklahoma', 'ci', '...']",neg
"['watching', 'campaign', 'realized', 'step', 'brother', 'still', 'funniest', 'will', 'ferrell', 'movie', 'one', 'place']",pos
"['he is', 'plane', 'amsterdam', 'now', 'bet', 'he is', 'not', 'class', 'tomorrow']",neu
"['really', 'wanna', 'go', 'one', 'thing', 'watch', 'new', 'thing', 'channel', 'last', 'friday', 'xx']",pos
"['may', 'girl', 'face', 'earth', 'does not', 'find', 'channing', 'tatum', 'attractive', '#callmecrazy', '#justsayin', '#donthateme']",neg
"['cold', 'pizza', 'mass', 'effect', 'want', 'leg', 'healed', 'going', 'look', 'voodoo', 'shit', 'i will', 'walking', 'jumping', 'running', 'tomorrow']",neu
"['remember', 'cupid', 'convo', 'last', 'year', 'bomb', 'candy', 'bar', 'liked', 'you will', 'love', 'next', 'tuesday is', 'tr']",pos
"['channing', 'tatum', 'will', 'white', 'oak', 'tomorrow', '...', 'stalker']",neu
"['fly', 'saturday', 'detroit', 'amsterdam', 'newcastle']",neu
"['#hulu', 'video', 'game', 'trailer', 'launch', 'trailer', 'check', 'launch', 'trailer', 'mass', 'effect', 'added', 'fri', 'oct', '...']",neu
"['i would', 'watch', 'cougar', 'town', 'day', 'january', 'tb', 'funny', '#firedooley']",pos
